RAIL             , VCCINT , VCCINT , VCCINT , VCCBRAM , VCCBRAM , VCCAUX , VCCAUX , HDIO , HRIO , HPIO , VCCO
XCVU095-FFVB2104 , 1      , 2      , 4      , 1       , 1       , 3      , 7      , 0    , 1    , 1    , 1
XCVU095-FFVC1517 , 1      , 2      , 4      , 1       , 1       , 2      , 5      , 0    , 1    , 1    , 1
XCVU095-FFVC2104 , 1      , 2      , 4      , 1       , 1       , 2      , 4      , 0    , 1    , 1    , 1
XCVU095-FFVD1517 , 1      , 2      , 4      , 1       , 1       , 2      , 3      , 0    , 1    , 1    , 1
XCVU11P-FLGA2577 , 5      , 8      , 14     , 1       , 1       , 2      , 4      , 0    , 1    , 1    , 0
XCVU11P-FLGB2104 , 5      , 8      , 14     , 1       , 1       , 3      , 6      , 0    , 1    , 1    , 0
XCVU11P-FLGC2104 , 5      , 8      , 14     , 1       , 1       , 2      , 4      , 0    , 1    , 1    , 0
XCVU11P-FLGD2104 , 5      , 8      , 14     , 1       , 1       , 3      , 6      , 0    , 1    , 1    , 0
XCVU11P-FLGF1924 , 5      , 8      , 14     , 1       , 1       , 3      , 6      , 0    , 1    , 1    , 0
XCVU125-FLVA2104 , 2      , 3      , 5      , 1       , 1       , 4      , 8      , 0    , 1    , 1    , 1
XCVU125-FLVB1760 , 2      , 3      , 5      , 1       , 1       , 4      , 7      , 0    , 1    , 1    , 1
XCVU125-FLVB2104 , 2      , 3      , 5      , 1       , 1       , 4      , 7      , 0    , 1    , 1    , 1
XCVU125-FLVC2104 , 2      , 3      , 5      , 1       , 1       , 2      , 4      , 0    , 1    , 1    , 1
XCVU125-FLVD1517 , 2      , 3      , 5      , 1       , 1       , 2      , 3      , 0    , 1    , 1    , 1
XCVU13P-FHGA2104 , 6      , 10     , 19     , 1       , 1       , 4      , 8      , 0    , 1    , 1    , 0
XCVU13P-FHGB2104 , 6      , 10     , 19     , 1       , 1       , 4      , 7      , 0    , 1    , 1    , 0
XCVU13P-FHGC2104 , 6      , 10     , 19     , 1       , 1       , 2      , 4      , 0    , 1    , 1    , 0
XCVU13P-FIGD2104 , 7      , 11     , 20     , 1       , 2       , 2      , 4      , 0    , 1    , 1    , 0
XCVU13P-FLGA2577 , 6      , 10     , 19     , 1       , 1       , 2      , 4      , 0    , 1    , 1    , 0
XCVU13P-FSGA2577 , 6      , 10     , 19     , 1       , 1       , 2      , 4      , 0    , 1    , 1    , 0
XCVU160-FLGB2104 , 2      , 4      , 7      , 1       , 1       , 4      , 7      , 0    , 1    , 1    , 1
XCVU160-FLGC2104 , 2      , 4      , 7      , 1       , 1       , 2      , 4      , 0    , 1    , 1    , 1
XCVU190-FLGA2577 , 3      , 4      , 8      , 1       , 1       , 2      , 4      , 0    , 1    , 1    , 1
XCVU190-FLGB2104 , 3      , 4      , 8      , 1       , 1       , 4      , 7      , 0    , 1    , 1    , 1
XCVU190-FLGC2104 , 3      , 4      , 8      , 1       , 1       , 2      , 4      , 0    , 1    , 1    , 1
XCVU3P-FFVC1517  , 1      , 2      , 4      , 1       , 1       , 3      , 5      , 0    , 1    , 1    , 0
XCVU440-FLGA2892 , 5      , 8      , 14     , 1       , 1       , 7      , 14     , 0    , 1    , 1    , 1
XCVU440-FLGB2377 , 5      , 8      , 14     , 1       , 1       , 6      , 13     , 0    , 1    , 1    , 1
XCVU5P-FLVA2104  , 2      , 4      , 6      , 1       , 1       , 4      , 8      , 0    , 1    , 1    , 0
XCVU5P-FLVB2104  , 2      , 4      , 6      , 1       , 1       , 4      , 7      , 0    , 1    , 1    , 0
XCVU5P-FLVC2104  , 2      , 4      , 6      , 1       , 1       , 2      , 4      , 0    , 1    , 1    , 0
XCVU7P-FLVA2104  , 3      , 5      , 8      , 1       , 1       , 4      , 8      , 0    , 1    , 1    , 0
XCVU7P-FLVB2104  , 3      , 5      , 8      , 1       , 1       , 4      , 7      , 0    , 1    , 1    , 0
XCVU7P-FLVC2104  , 3      , 5      , 8      , 1       , 1       , 2      , 4      , 0    , 1    , 1    , 0
XCVU9P-FLGA2104  , 4      , 7      , 13     , 1       , 1       , 4      , 8      , 0    , 1    , 1    , 0
XCVU9P-FLGA2577  , 4      , 7      , 13     , 1       , 1       , 2      , 4      , 0    , 1    , 1    , 0
XCVU9P-FLGB2104  , 4      , 7      , 13     , 1       , 1       , 4      , 7      , 0    , 1    , 1    , 0
XCVU9P-FLGC2104  , 4      , 7      , 13     , 1       , 1       , 2      , 4      , 0    , 1    , 1    , 0
XCVU9P-FSGD2104  , 4      , 7      , 13     , 1       , 1       , 3      , 7      , 0    , 1    , 1    , 0
XQKU040-RBA676   , 1      , 2      , 3      , 1       , 1       , 1      , 3      , 0    , 1    , 1    , 1
XQKU040-RFA1156  , 1      , 2      , 3      , 1       , 1       , 2      , 5      , 0    , 1    , 1    , 1
XQKU060-RFA1156  , 1      , 2      , 4      , 1       , 1       , 2      , 5      , 0    , 1    , 1    , 1
XQKU095-RFA1156  , 1      , 2      , 4      , 1       , 1       , 2      , 5      , 0    , 1    , 1    , 1
XQKU115-RLD1517  , 3      , 5      , 9      , 1       , 1       , 1      , 3      , 0    , 1    , 1    , 1
XQKU115-RLF1924  , 3      , 5      , 9      , 1       , 1       , 3      , 7      , 0    , 1    , 1    , 1
XQKU15P-FFRA1156 , 2      , 3      , 5      , 1       , 1       , 2      , 5      , 1    , 0    , 1    , 0
XQKU15P-FFRE1517 , 2      , 3      , 5      , 1       , 1       , 2      , 4      , 1    , 0    , 1    , 0
XQKU5P-FFRB676   , 1      , 2      , 3      , 1       , 1       , 1      , 2      , 1    , 0    , 1    , 0
XQKU5P-SFRB784   , 1      , 2      , 3      , 1       , 1       , 1      , 2      , 1    , 0    , 1    , 0
XQVU11P-FLRC2104 , 5      , 8      , 14     , 1       , 1       , 2      , 4      , 0    , 1    , 1    , 0
XQVU3P-FFRC1517  , 1      , 2      , 4      , 1       , 1       , 3      , 5      , 0    , 1    , 1    , 0
XQVU7P-FLRA2104  , 3      , 5      , 8      , 1       , 1       , 4      , 8      , 0    , 1    , 1    , 0
XQVU7P-FLRB2104  , 3      , 5      , 8      , 1       , 1       , 4      , 7      , 0    , 1    , 1    , 0
